繁體中文	English	日本語	한국어	日文中文回譯
語言	Language	言語	언어	語言
無縫拼圖	Seamless collage	境界ぼかし	경계 블렌딩	柔化拼貼交界
融合程度	Blend strength	ぼかし量	블렌딩 강도	交界柔化程度
信號	Signal	シグナル	신호	圈線由內向外逐層出現
中文	Chinese	中国語	중국어	中文
英文	English	英語	영어	英文
日文	Japanese	日本語	일본어	日文
韓文	Korean	韓国語	한국어	韓文
{0}張: {1}	{0} photos: {1}	{0}枚：{1}	{0}장: {1}	{0}張: {1}
設定	Settings	設定	설정	設定
App 語言	App language	アプリの言語	앱 언어	App 語言
切換語言後會重新載入介面，不會更改作品內容。	Changing the language reloads the app. Your projects stay unchanged.	言語の変更後に再読み込みします。作品は変更されません。	언어를 변경하면 앱이 새로고침됩니다. 작품 내용은 변경되지 않습니다.	切換語言後會重新載入，作品不會被更改。
修圖	Edit	編集	편집	修圖
模板	Templates	テンプレート	템플릿	模板
我的	My space	マイページ	마이페이지	我的
編輯	Edit	編集	편집	編輯
相機	Camera	カメラ	카메라	相機
創意拼圖	Creative collage	フリー	자유 콜라주	自由編排拼貼
經典拼圖	Classic collage	グリッド	그리드 콜라주	格線拼貼
美顏	Retouch	レタッチ	뷰티	美顏
仿色	Color match	色合わせ	색감 매칭	仿色
濾鏡	Filters	フィルター	필터	濾鏡
調節	Adjust	調整	조정	調節
特效	Effects	効果	효과	效果
造型	Style	スタイル	스타일	造型
構圖	Crop	切り取り	자르기	裁切／調整構圖
遮色片	Mask	マスク	마스크	遮色片
儲存	Save	保存	저장	儲存
儲存中	Saving	保存中	저장 중	儲存中
儲存圖片	Save image	画像を保存	이미지 저장	儲存圖片
儲存影片	Save video	動画を保存	동영상 저장	儲存影片
正在儲存草稿	Saving draft	下書きを保存中	초안 저장 중	正在儲存草稿
是否儲存為草稿	Save as a draft?	下書きを保存しますか？	초안으로 저장할까요?	是否儲存草稿？
放棄	Discard	保存しない	저장 안 함	不要儲存
取消	Cancel	キャンセル	취소	取消
取消儲存	Cancel saving	保存を中止	저장 취소	中止儲存
取消匯出	Cancel export	出力を中止	내보내기 취소	中止匯出
取消，回到編輯	Cancel and return to editing	編集に戻る	취소하고 편집으로 돌아가기	取消並返回編輯
完成	Done	完了	완료	完成
返回	Back	戻る	뒤로	返回
返回主頁	Back to home	ホームへ	홈으로 돌아가기	返回主頁
返回圖片編輯	Back to photo editing	画像編集へ	사진 편집으로 돌아가기	返回圖片編輯
返回特效	Back to effects	効果に戻る	효과로 돌아가기	返回特效
返回梯形方向选择	Back to perspective options	方向選択へ	원근 보정 방향으로 돌아가기	返回遠近補正的方向選擇
退出構圖並放棄變更	Cancel crop changes	変更を破棄して戻る	자르기 변경 취소	放棄本次構圖變更並返回
退出构图并放弃变更	Cancel crop changes	変更を破棄して戻る	자르기 변경 취소	放棄本次構圖變更並返回
復原	Undo	元に戻す	실행 취소	復原
重做	Redo	やり直す	다시 실행	重做
還原	Reset	リセット	초기화	還原
重設	Reset	リセット	초기화	重設
重置全部	Reset all	全てリセット	모두 초기화	全部重設
雙擊重置	Double-tap to reset	ダブルタップでリセット	두 번 탭하여 초기화	雙擊重置
原始	Original	元画像	원본	原始圖片
按住看原圖	Hold to see original	長押しで元画像を表示	길게 눌러 원본 보기	按住看原圖
